404: Not Found
🩶酒店频道&爬虫,#genre#
CCTV15,http://112.85.66.11:8088/rtp/239.49.1.15:6000
CCTV16,http://112.85.66.11:8088/rtp/239.49.9.58:6000
CCTV16,http://112.85.66.11:8088/rtp/239.49.9.59:6000
CCTV17,http://112.85.66.11:8088/rtp/239.49.8.52:9810
电视指南,http://112.85.66.11:8088/rtp/239.49.8.84:8000
兵器科技,http://112.85.66.11:8088/rtp/239.49.8.88:8000
第一剧场,http://112.85.66.11:8088/rtp/239.49.8.94:8000
风云剧场,http://112.85.66.11:8088/rtp/239.49.8.89:8000
风云音乐,http://112.85.66.11:8088/rtp/239.49.8.92:8000
风云足球,http://112.85.66.11:8088/rtp/239.49.8.85:8000
央视高网,http://112.85.66.11:8088/rtp/239.49.9.7:6000
怀旧剧场,http://112.85.66.11:8088/rtp/239.49.8.91:8000
央视台球,http://112.85.66.11:8088/rtp/239.49.8.32:8000
女性时尚,http://112.85.66.11:8088/rtp/239.49.8.93:8000
世界地理,http://112.85.66.11:8088/rtp/239.49.8.87:8000
CCTV1,http://180.109.99.117:8888/rtp/239.49.8.19:9614
CCTV2,http://180.109.99.117:8888/rtp/239.49.8.50:9802
CCTV3,http://180.109.99.117:8888/rtp/239.49.9.31:6000
CCTV4,http://180.109.99.117:8888/rtp/239.49.8.51:9806
CCTV5,http://180.109.99.117:8888/rtp/239.49.8.75:8000
CCTV5+,http://180.109.99.117:8888/rtp/239.49.8.18:9610
CCTV6,http://180.109.99.117:8888/rtp/239.49.9.33:6000
CCTV7,http://180.109.99.117:8888/rtp/239.49.1.254:6000
CCTV8,http://180.109.99.117:8888/rtp/239.49.9.34:6000
CCTV9,http://180.109.99.117:8888/rtp/239.49.8.53:9814
CCTV10,http://180.109.99.117:8888/rtp/239.49.8.54:9818
CCTV11,http://180.109.99.117:8888/rtp/239.49.1.11:6000
CCTV12,http://180.109.99.117:8888/rtp/239.49.8.55:9822
CCTV13,http://180.109.99.117:8888/rtp/239.49.9.43:6000
CCTV14,http://180.109.99.117:8888/rtp/239.49.8.56:9826
CCTV15,http://180.109.99.117:8888/rtp/239.49.1.15:6000
CCTV16,http://180.109.99.117:8888/rtp/239.49.9.58:6000
CCTV16,http://180.109.99.117:8888/rtp/239.49.9.59:6000
CCTV17,http://180.109.99.117:8888/rtp/239.49.8.52:9810
电视指南,http://180.109.99.117:8888/rtp/239.49.8.84:8000
兵器科技,http://180.109.99.117:8888/rtp/239.49.8.88:8000
第一剧场,http://180.109.99.117:8888/rtp/239.49.8.94:8000
风云剧场,http://180.109.99.117:8888/rtp/239.49.8.89:8000
风云音乐,http://180.109.99.117:8888/rtp/239.49.8.92:8000
风云足球,http://180.109.99.117:8888/rtp/239.49.8.85:8000
央视高网,http://180.109.99.117:8888/rtp/239.49.9.7:6000
怀旧剧场,http://180.109.99.117:8888/rtp/239.49.8.91:8000
央视台球,http://180.109.99.117:8888/rtp/239.49.8.32:8000
女性时尚,http://180.109.99.117:8888/rtp/239.49.8.93:8000
世界地理,http://180.109.99.117:8888/rtp/239.49.8.87:8000
CCTV1,http://180.125.67.24:8888/rtp/239.49.8.19:9614
CCTV2,http://180.125.67.24:8888/rtp/239.49.8.50:9802
CCTV3,http://180.125.67.24:8888/rtp/239.49.9.31:6000
CCTV4,http://180.125.67.24:8888/rtp/239.49.8.51:9806
CCTV5,http://180.125.67.24:8888/rtp/239.49.8.75:8000
CCTV5+,http://180.125.67.24:8888/rtp/239.49.8.18:9610
CCTV6,http://180.125.67.24:8888/rtp/239.49.9.33:6000
CCTV7,http://180.125.67.24:8888/rtp/239.49.1.254:6000
CCTV8,http://180.125.67.24:8888/rtp/239.49.9.34:6000
CCTV9,http://180.125.67.24:8888/rtp/239.49.8.53:9814
CCTV10,http://180.125.67.24:8888/rtp/239.49.8.54:9818
CCTV11,http://180.125.67.24:8888/rtp/239.49.1.11:6000
CCTV12,http://180.125.67.24:8888/rtp/239.49.8.55:9822
CCTV13,http://180.125.67.24:8888/rtp/239.49.9.43:6000
CCTV14,http://180.125.67.24:8888/rtp/239.49.8.56:9826
CCTV15,http://180.125.67.24:8888/rtp/239.49.1.15:6000
CCTV16,http://180.125.67.24:8888/rtp/239.49.9.58:6000
CCTV16,http://180.125.67.24:8888/rtp/239.49.9.59:6000
CCTV17,http://180.125.67.24:8888/rtp/239.49.8.52:9810
电视指南,http://180.125.67.24:8888/rtp/239.49.8.84:8000
兵器科技,http://180.125.67.24:8888/rtp/239.49.8.88:8000
第一剧场,http://180.125.67.24:8888/rtp/239.49.8.94:8000
风云剧场,http://180.125.67.24:8888/rtp/239.49.8.89:8000
风云音乐,http://180.125.67.24:8888/rtp/239.49.8.92:8000
风云足球,http://180.125.67.24:8888/rtp/239.49.8.85:8000
央视高网,http://180.125.67.24:8888/rtp/239.49.9.7:6000
怀旧剧场,http://180.125.67.24:8888/rtp/239.49.8.91:8000
央视台球,http://180.125.67.24:8888/rtp/239.49.8.32:8000
女性时尚,http://180.125.67.24:8888/rtp/239.49.8.93:8000
世界地理,http://180.125.67.24:8888/rtp/239.49.8.87:8000
电视指南,http://125.36.67.110:8888/rtp/225.1.2.167:5002?$天津联通
兵器科技,http://125.36.67.110:8888/rtp/225.1.2.166:5002?$天津联通
世界地理,http://125.36.67.110:8888/rtp/225.1.2.171:5002?$天津联通
女性时尚,http://125.36.67.110:8888/rtp/225.1.2.172:5002?$天津联通
第一剧场,http://125.36.67.110:8888/rtp/225.1.2.175:5002?$天津联通
怀旧剧场,http://125.36.67.110:8888/rtp/225.1.2.173:5002?$天津联通
风云剧场,http://125.36.67.110:8888/rtp/225.1.2.174:5002?$天津联通
风云音乐,http://125.36.67.110:8888/rtp/225.1.2.176:5002?$天津联通
风云足球,http://125.36.67.110:8888/rtp/225.1.2.168:5002?$天津联通
央视高网,http://125.36.67.110:8888/rtp/225.1.2.169:5002?$天津联通
央视台球,http://125.36.67.110:8888/rtp/225.1.2.170:5002?$天津联通
电视指南,http://60.26.2.242:7000/rtp/225.1.2.167:5002?$天津联通
兵器科技,http://60.26.2.242:7000/rtp/225.1.2.166:5002?$天津联通
世界地理,http://60.26.2.242:7000/rtp/225.1.2.171:5002?$天津联通
女性时尚,http://60.26.2.242:7000/rtp/225.1.2.172:5002?$天津联通
第一剧场,http://60.26.2.242:7000/rtp/225.1.2.175:5002?$天津联通
怀旧剧场,http://60.26.2.242:7000/rtp/225.1.2.173:5002?$天津联通
风云剧场,http://60.26.2.242:7000/rtp/225.1.2.174:5002?$天津联通
风云音乐,http://60.26.2.242:7000/rtp/225.1.2.176:5002?$天津联通
风云足球,http://60.26.2.242:7000/rtp/225.1.2.168:5002?$天津联通
央视高网,http://60.26.2.242:7000/rtp/225.1.2.169:5002?$天津联通
央视台球,http://60.26.2.242:7000/rtp/225.1.2.170:5002?$天津联通
电视指南,http://111.167.65.196:4022/rtp/225.1.2.167:5002?$天津联通
兵器科技,http://111.167.65.196:4022/rtp/225.1.2.166:5002?$天津联通
世界地理,http://111.167.65.196:4022/rtp/225.1.2.171:5002?$天津联通
女性时尚,http://111.167.65.196:4022/rtp/225.1.2.172:5002?$天津联通
第一剧场,http://111.167.65.196:4022/rtp/225.1.2.175:5002?$天津联通
怀旧剧场,http://111.167.65.196:4022/rtp/225.1.2.173:5002?$天津联通
风云剧场,http://111.167.65.196:4022/rtp/225.1.2.174:5002?$天津联通
风云音乐,http://111.167.65.196:4022/rtp/225.1.2.176:5002?$天津联通
风云足球,http://111.167.65.196:4022/rtp/225.1.2.168:5002?$天津联通
央视高网,http://111.167.65.196:4022/rtp/225.1.2.169:5002?$天津联通
